daily_neg,conf_daily
4,86
1,70
1,78
4,91
4,37
9,37
5,29
2,18
4,13
5,50
2,2
5,18
5,21
5,23
4,12
7,15
3,31
4,15
7,7
8,2
1,6
9,7
1,5
5,7
5,11
7,8
8,19
4,10
5,8
1,34
5,11
10,13
1,12
5,0
8,15
5,4
8,14
6,9
6,4
3,14
4,10
3,9
2,16
6,30
1,9
7,10
3,22
5,9
5,21
4,5
18,19
12,19
14,28
6,25
1,23
7,21
9,12
16,14
8,8
14,23
3,7
3,20
6,17
2,16
2,114
2,0
3,0
8,0
1,0
1,85
1,247
1,205
1,115
2,345
1,220
1,468
1,303
1,198
5,377
7,344
3,830
5,446
2,320
1,362
1,192
7,419
3,280
6,110
1,681
