daily_neg,daily_conf
12,9128
15,3886
22,6313
19,4090
9,4237
27,5084
10,5166
39,4196
5,3678
12,4859
5,3142
11,3323
8,4274
15,3673
12,3433
17,3017
25,3790
23,2644
20,2915
13,3574
35,3123
26,2985
39,3074
28,4082
27,2552
27,2763
10,2873
3,3132
9,2740
22,2838
20,3666
50,2185
14,2530
10,3227
13,3101
10,2994
20,3305
21,3284
20,2557
12,2606
24,3061
33,3395
28,2543
27,4397
39,1706
24,2017
14,3581
16,2716
7,3071
28,3441
17,2826
19,3727
7,2963
24,3106
21,4254
23,3969
25,3296
25,3062
21,4588
12,3588
22,3976
43,4813
47,4725
16,4265
34,4226
30,5632
15,4387
19,4739
1,5730
11,6283
23,5772
22,5159
17,6124
27,6053
9,6060
16,6844
16,7262
17,7082
24,6391
13,8249
20,6728
41,7274
32,9395
19,8541
30,8308
38,7328
1,10067
35,10643
46,10662
14,6856
38,8750
31,8667
14,6507
24,5465
21,5201
15,4047
26,6732
20,6897
19,6231
11,7576
17,5826
5,6477
28,7045
11,7467
15,6733
6,6291
21,8645
25,5684
17,6078
3,6913
12,6604
5,6417
17,6266
8,7773
15,6150
22,5966
2,6840
10,6297
10,6485
6,5835
25,7828
18,5370
18,5626
3,5958
29,5550
34,5241
16,5389
14,6708
18,4798
16,4884
14,4875
35,4895
14,4543
19,4606
21,5840
19,4203
23,4221
21,4844
17,5441
39,3996
32,4588
23,4909
14,3850
12,4350
10,5456
19,2917
9,2917
16,4931
31,3388
13,2395
21,2293
16,3401
28,3051
11,2725
8,2737
23,4280
16,2769
32,1361
33,3033
20,2480
13,2596
19,2489
23,3115
4,2338
22,1194
15,2645
13,2476
15,2469
17,4245
34,928
24,1774
30,1955
22,2933
18,2369
15,1700
11,2009
7,2537
1,2111
9,1354
14,2241
42,1847
