S1_Joy,S2_Joy
1.662181,0.6112171999999999
1.584762,0.6978757
1.413029,1.19836
1.99548,0.9504414
1.981835,0.6698406
2.159827,-0.0786763
1.727152,-0.0233572
1.90065,0.4239428
1.627397,0.7201727
1.731511,0.9446737
1.217638,0.7488393
1.8650830000000005,0.6851151999999999
1.712854,0.5461931999999999
1.925142,0.8024671
1.795071,0.8508546
1.509327,0.8512613000000001
1.981215,0.7209161999999999
1.524189,0.6820696999999999
1.535357,0.8706603
1.530365,1.051486
1.640325,1.039879
1.649868,1.034275
1.505525,1.076135
1.547731,1.262852
1.491168,1.076896
1.516923,1.196709
1.599345,1.441762
1.688637,1.3638860000000002
1.658289,1.0208780000000002
1.6475990000000005,1.000334
1.6875950000000002,1.009055
1.817586,1.342375
1.681198,1.396396
1.853494,1.474401
1.90049,1.5918139999999998
1.83302,1.486149
1.830622,1.663317
1.777686,1.589648
1.78222,1.609936
1.665977,1.7159529999999998
1.629398,1.7379669999999998
1.556453,1.809162
1.5845049999999998,1.874495
1.612188,1.76188
1.7442799999999998,1.824418
1.569148,1.7595490000000005
1.6307459999999998,1.693069
1.866686,1.6451790000000002
1.983201,1.63502
1.966259,1.2720870000000002
2.100204,0.8489813
2.018523,0.4778638
1.826287,0.66528
1.7497599999999998,0.3852349
1.643466,-0.1679174
1.836749,-0.3753174
2.005416,0.07952552
2.170604,0.8267774999999999
2.28967,0.8541879000000001
2.312745,0.3277881
2.208109,-1.512733
2.270884,-2.640828
1.803238,-3.1416880000000003
1.7697349999999998,-2.497159
1.838767,-2.44366
1.893631,-2.702808
1.952034,-3.970159
1.854454,-2.573474
1.770674,-1.010099
1.696257,-0.6511446
1.817996,0.04248056
1.873,0.1904833
1.797916,-0.09886998
1.760652,-0.1700043
1.751194,-0.6843829
1.892385,-0.4970998
1.70145,-0.7698395
1.673768,-1.2958889999999998
1.824491,-0.9061048
1.821054,0.1266797
1.942879,0.9235388
1.794618,1.089739
1.96984,1.131014
2.17099,0.8748752000000001
2.018946,0.7316556
2.099493,0.7817038000000001
2.184489,1.147436
2.370301,0.742888
2.218388,0.9219133
2.312021,1.26581
2.056678,1.415868
2.099031,1.635573
2.048311,1.85665
2.178439,1.591392
2.273363,1.258618
2.302356,1.956824
2.429007,2.331788
2.256504,2.476731
2.290465,2.597849
2.218324,2.418178
2.265501,2.54463
2.07436,2.408964
2.215338,2.10655
2.050151,2.0998
1.826808,1.978393
1.3748209999999998,1.630793
1.060608,1.584793
1.144946,1.771628
0.9992985,1.33271
0.9648013,1.28664
0.8319519000000001,1.295564
0.7807016999999999,1.167385
0.321896,1.06489
-0.2878315,0.8885716999999999
-1.170075,0.9081528
-1.627765,0.8151529000000001
-1.850539,0.9149635
-2.02482,0.9391013
-2.117543,0.7915393000000001
-1.992603,0.8361033000000001
-1.826937,1.112737
-1.865155,1.317647
-1.804688,1.287153
-1.61206,1.461035
-1.48171,1.185182
-1.35618,1.534979
-1.378497,1.581124
-1.23209,1.7530119999999998
-1.261365,1.597229
-1.71862,1.500793
-1.930108,1.814693
-2.145921,1.751112
-2.412323,1.723909
-2.573882,1.769761
-2.656573,1.673564
-2.45149,1.528639
-2.398992,1.573998
-1.920331,1.324386
-1.840893,1.376916
-1.377923,1.599443
-0.8716761000000001,1.641377
-0.3274395,1.682669
-0.06405921,1.616595
0.6053585,1.627761
0.4517543,1.484442
0.7635953000000001,1.520185
0.7013146,1.432676
1.1075469999999998,1.37162
0.9313584,1.3627209999999998
0.9380576,1.263763
1.00986,1.017381
1.144441,0.7943359999999999
1.158731,0.8391151
1.217752,0.6969513
1.257456,0.6034090999999999
1.249165,0.7712154
1.150082,1.15033
1.13455,1.370278
1.342447,1.509515
1.476271,1.815662
1.5232450000000002,1.73764
1.690995,1.540748
1.74837,1.328337
1.832057,1.213355
1.832966,1.156281
1.795539,1.158028
1.889385,1.172116
2.098611,1.125465
2.189032,1.103256
2.237597,1.177351
2.270569,1.397709
2.009604,1.845178
1.837774,1.927027
